7zip 26.02-1
acpi 1.8-2
alsa-firmware 1.2.4-4
alsa-utils 1.2.16-1
amd-ucode 20260810-2
atril 1.28.3-1
audacity 1:3.7.8-4
awww 0.12.1-1
base 3-3
base-devel 1-2
bat 0.26.1-2
bc 1.08.2-1
bind 9.20.27-1
bluetui 0.8.1-2
bluez 5.87-2
bluez-deprecated-tools 5.87-2
bluez-utils 5.87-2
brightnessctl 0.5.1-3
bspwm 0.9.12-1
cmake 4.4.3-1
cronie 1.7.2-2
dust 1.2.5-1
efibootmgr 18-4
ex-vi-compat 3-1
feh 3.12.3-1
flameshot 14.0.0-1
gdb 17.2-1
git 2.55.0-1
grub 2:2.14-1
gsl 2.8-1
gtk-layer-shell 0.10.1-1
hexedit 1.6-3
htop 3.5.3-1
i3lock 2.16-1
imagemagick 7.1.2.30-1
inotify-tools 4.25.9.0-1
iptables 1:1.8.13-1
jq 1.8.2-1
kitty 0.48.2-1
ksnip 1.10.1-6
libdbusmenu-glib 18.10.20180917-2
libdbusmenu-gtk3 18.10.20180917-2
libinput-tools 1.31.3-1
linux 7.1.11.arch1-1
linux-firmware 20260810-2
lsd 1.2.0-2
lshw B.02.20-3
ltrace 0.8.1-1
ly 1.4.1-1
moreutils 0.70-1
mpv 1:0.41.0-6
nasm 3.02-1
net-tools 2.10-3
networkmanager 1.58.1-1
nmap 7.991-1
ntfs-3g 2026.7.7-1
obsidian 1.13.7-2
okular 26.08.0-2
openbsd-netcat 1.238_1-1
openssh 10.5p1-1
pacman-contrib 1.13.1-1
pavucontrol 1:6.2-1
picom 13-2
pinta 3.1.2-2
plocate 1.1.24-2
polybar 3.7.2-2
poppler 26.08.0-1
pulseaudio 17.0+r98+gb096704c0-1
pulseaudio-alsa 1:1.2.12-6
pulseaudio-bluetooth 17.0+r98+gb096704c0-1
qalculate-gtk 5.12.0-1
radeontop 1.4-3
redshift 1.12-15
reflector 2023-5
river 0.4.8-1
rofi 2.0.0-1
rofi-calc 2.5.1-1
rustup 1.29.0-2
socat 1.8.1.3-1
strace 7.0-1
sudo 1.9.17.p2-6
swaybg 1.2.2-1
sxhkd 0.6.3-1
systemd-resolvconf 261.2-1
testdisk 7.2-4
tlp 1.10.2-1
tree 2.3.2-1
ttf-nerd-fonts-symbols-mono 3.4.0-1
unclutter 1:1.6-4
unzip 6.0-23
upower 1.91.3-1
vim 9.2.1011-1
wev 1.1.0-1
wget 1.25.0-6
wireguard-tools 1.0.20260223-1
wireless-regdb 2026.05.30-1
wl-clipboard 1:2.3.0-1
wlr-randr 0.5.0-1
wmctrl 1.07-6
xbindkeys 1.8.7-5
xclip 0.13-6
xf86-video-amdgpu 25.0.0-1
xf86-video-vesa 2.6.0-3
xorg-bdftopcf 1.1.2-1
xorg-docs 1.7.3-3
xorg-font-util 1.4.2-1
xorg-fonts-100dpi 1.0.4-3
xorg-fonts-75dpi 1.0.4-2
xorg-fonts-encodings 1.1.0-2
xorg-iceauth 1.0.11-1
xorg-mkfontscale 1.2.4-2
xorg-server 21.1.24-1
xorg-server-common 21.1.24-1
xorg-server-devel 21.1.24-1
xorg-server-src 21.1.24-1
xorg-server-xephyr 21.1.24-1
xorg-server-xnest 21.1.24-1
xorg-server-xvfb 21.1.24-1
xorg-sessreg 1.1.4-1
xorg-setxkbmap 1.3.5-1
xorg-smproxy 1.0.8-1
xorg-x11perf 1.7.0-1
xorg-xauth 1.1.5-1
xorg-xbacklight 1.2.4-1
xorg-xcmsdb 1.0.7-1
xorg-xcursorgen 1.0.9-1
xorg-xdpyinfo 1.4.0-1
xorg-xdriinfo 1.0.8-1
xorg-xev 1.2.7-1
xorg-xgamma 1.0.8-1
xorg-xhost 1.0.10-1
xorg-xinit 1.4.4-1
xorg-xinput 1.6.4-2
xorg-xkbcomp 1.5.0-1
xorg-xkbevd 1.1.6-1
xorg-xkbutils 1.0.7-1
xorg-xkill 1.0.7-1
xorg-xlsatoms 1.1.5-1
xorg-xlsclients 1.1.6-1
xorg-xmodmap 1.0.12-1
xorg-xpr 1.2.1-1
xorg-xprop 1.2.8-1
xorg-xrandr 1.5.4-1
xorg-xrdb 1.2.3-1
xorg-xrefresh 1.1.1-1
xorg-xset 1.2.6-1
xorg-xsetroot 1.1.4-1
xorg-xvinfo 1.1.6-1
xorg-xwayland 24.1.13-1
xorg-xwd 1.0.10-1
xorg-xwininfo 1.1.7-1
xorg-xwud 1.0.8-1
yt-dlp 2026.08.19-1
zathura 2026.07.18-1
zathura-pdf-mupdf 2026.07.18-1
zsh 5.9.2-1
zsh-autocomplete 25.03.19-1
zsh-autosuggestions 0.7.1-1
zsh-syntax-highlighting 0.8.0-2
